Groupe,Type,Unité,Famille de substances,Aluminium,Antimoine,Argent,Arsenic,Baryum,Cadmium,Calcium,Chromium,Cobalt,Cuivre,Etain,Fer,Gallium,Germanium,Lithium,Magnésium,Manganese,Mercure,Molybdène,Nickel,Plomb,Potassium,Selenium,Sodium,Strontium,Tellure,Vanadium,Zinc
Eaux,R,µg/g,Contaminants inorg et minéraux,0.17690625,0.0002890625,0.02865625,0.00459375,0.045015625,0.0003746875,120.096875,0.015025,0.000730625,0.1242078125,0.0021221875,0.073015625,0.0005,0.001404375,0.0132621875,13.79265625,0.0065328125,0.0025,0.00335156249999999,0.0190734375,0.00249406249999999,7.54171875,0.025,22.76328125,0.5291953125,0.00053125,0.0120437499999999,0.09965625
"Entremets, crèmes desserts et laits gélifiés",N,µg/g,Contaminants inorg et minéraux,3.70214285714285,0.00311571428571428,0.0349285714285714,0.0254,0.373857142857142,0.00671142857142857,949.357142857142,0.312185714285714,0.0275607142857142,1.118125,0.00675285714285714,15.2385714285714,0.0005,0.00342071428571428,0.00797,293.357142857142,1.84160357142857,0.00362857142857142,0.0640571428571428,0.325046428571428,0.00653714285714285,1946.28571428571,0.025,580.785714285714,0.778214285714285,0.00125357142857142,0.0312714285714285,3.18842857142857
"Entremets, crèmes desserts et laits gélifiés",R,µg/g,Contaminants inorg et minéraux,0.61375,0.00267791666666666,0.0367083333333333,0.0150708333333333,0.191816666666666,0.0275716666666666,669.666666666666,0.1393375,0.00454749999999999,0.458291666666666,2.37652166666666,4.58958333333333,0.0005,0.00143,0.00459666666666666,139.524999999999,0.677666666666666,0.00260416666666666,0.0509333333333333,0.060325,0.0039625,1661.66666666666,0.025,938.458333333333,0.512916666666666,0.000732916666666666,0.0196166666666666,4.53583333333333
Fromages,N,µg/g,Contaminants inorg et minéraux,0.5315,0.0011075,0.0720625,0.029925,0.450374999999999,0.0025825,5653.75,0.4035,0.016645,0.4944375,2.1848525,1.152125,0.0009,0.001578125,0.0039425,303.5,0.184125,0.0028125,0.0756875,0.218781249999999,0.008201875,1196.0,0.0265625,7489.375,1.89125,0.00540375,0.0543,20.513125
Fromages,R,µg/g,Contaminants inorg et minéraux,1.405125,0.000453125,0.05874375,0.01498125,0.083075,0.00106425,1245.3125,0.1854375,0.0045675,0.1465,0.008055625,0.624625,0.0005,0.001081875,0.004224375,119.76875,0.182875,0.0025,0.0552625,0.06465625,0.002883125,1458.75,0.025,395.875,0.44325,0.000811875,0.0179375,4.125
Fruits,N,µg/g,Contaminants inorg et minéraux,0.809399999999999,0.000475,0.0399,0.00643,0.6777,0.0006877,204.93,0.06645,0.003077,0.6148,0.00623099999999999,1.325,0.0005,0.001374,0.003228,171.0,0.9778,0.0025,0.06798,0.0417,0.004196,2197.0,0.025,11.815,1.4326,0.00065,0.00989,0.8462
Fruits,R,µg/g,Contaminants inorg et minéraux,1.13829374999999,0.000715,0.0723063541666666,0.0129288020833333,0.14096828125,0.0031254828125,105.5084765625,0.114833541666666,0.00570317708333333,0.658118229166666,0.006001265625,1.47138645833333,0.000508072916666666,0.00232799479166666,0.0137364947916666,111.098541666666,0.812527083333333,0.00254036458333333,0.0356646875,0.15997859375,0.00486149479166666,2002.56510416666,0.0251953125,19.0480338541666,0.386059635416666,0.00078625,0.0271032291666666,0.946955208333333
Fruits secs et graines oléagineuses,N,µg/g,Contaminants inorg et minéraux,4.665,0.0004865,0.03895,0.020475,1.72725,0.0169925,534.75,0.273499999999999,0.02965,6.635,0.0208749999999999,14.6675,0.0005,0.0020325,0.01699,1069.25,11.865,0.0025,0.548449999999999,1.01925,0.016925,7355.0,0.025,2148.25,3.2775,0.000625,0.035325,18.3774999999999
Glaces et desserts glacés,N,µg/g,Contaminants inorg et minéraux,4.895,0.001795,0.182,0.02885,0.621,0.007545,839.0,0.3645,0.03565,1.68,0.007125,45.4499999999999,0.0005,0.001125,0.01163,393.0,1.88,0.0025,0.09025,0.353,0.009235,2920.0,0.025,669.0,1.1145,0.00075,0.0279,4.55
Huile,N,µg/g,Contaminants inorg et minéraux,0.6884,0.00035,0.0294,0.0139299999999999,0.110699999999999,0.00046,20.8549999999999,1.2019,0.001428,0.04194,0.014241,0.1721,0.0005,0.001125,0.000545,4.206,0.03934,0.0025,0.008555,0.03884,0.0029,16.0099999999999,0.025,12.0,0.016085,0.001309,0.007,0.4497
Lait,R,µg/g,Contaminants inorg et minéraux,0.5701625,0.000314930555555555,0.0355152777777777,0.0118552777777777,0.0946858333333333,0.00109672777777777,1023.89027777777,0.117926527777777,0.003552,0.0899012499999999,0.0107564861111111,0.388645833333333,0.0005,0.00105145833333333,0.00305815277777777,119.754166666666,0.0287231944444444,0.00260416666666666,0.046195,0.0357064583333333,0.00597381944444444,1678.54166666666,0.025,433.443055555555,0.291591666666666,0.000818222222222222,0.0144866666666666,3.72777777777777
Légumes (hors pomme de terre),N,µg/g,Contaminants inorg et minéraux,0.7565,0.00084,0.226999999999999,0.01365,0.1805,0.009275,133.5,0.0075,0.003935,0.474,0.3225,2.6,0.0005,0.001125,0.007765,75.3,0.394,0.0025,0.4275,0.1139,0.005245,315.0,0.025,3300.0,0.83,0.00075,0.0278,1.062
Légumes (hors pomme de terre),R,µg/g,Contaminants inorg et minéraux,2.58119361742424,0.000687471515151515,0.0450133964646464,0.0113005239898989,0.254621515151515,0.0122799682765151,322.497818813131,0.124869070075757,0.00635272373737373,0.666502001262626,0.467167207449494,4.65085912247474,0.000514614583333333,0.00113537708333333,0.0200626074494949,192.173245580808,1.38487856691919,0.00254427083333333,0.0616460142045454,0.0924443396464646,0.00826109393939393,2625.94908459596,0.0251822916666666,1095.55171085858,1.59476724431818,0.000756960037878787,0.0219336035353535,2.40592780934343
Légumes secs,R,µg/g,Contaminants inorg et minéraux,4.598125,0.0022059375,0.063359375,0.0144124999999999,1.20190625,0.0088371875,407.1875,0.12704375,0.0219375,2.5040625,0.0295296875,15.6705624999999,0.0005,0.001528125,0.06526875,481.28125,4.6909375,0.002578125,0.9054375,0.383125,0.0127090625,2659.375,0.025,1076.1125,2.845625,0.0021871875,0.021215625,9.5921875
Margarine,N,µg/g,Contaminants inorg et minéraux,1.68425,0.001865,0.02625,0.020525,0.133175,0.0010015,88.75,0.59325,0.00794,0.081175,0.035675,0.89375,0.000625,0.002025,0.0021525,12.4575,0.024625,0.0025,0.020375,0.0358375,0.00915,310.75,0.025,1665.0,0.136474999999999,0.000875,0.042075,0.6085
Oeufs et dérivés,R,µg/g,Contaminants inorg et minéraux,0.770191964285714,0.000308035714285714,0.0551517857142857,0.0139116071428571,0.341959821428571,0.00108988392857142,489.53125,0.220266517857142,0.00572941964285714,0.730401785714285,0.0199419196428571,18.0977232142857,0.0005,0.00154678571428571,0.0116272321428571,161.392857142857,0.361830357142857,0.00258928571428571,0.0799624999999999,0.0666694196428571,0.00437857142857142,1726.4375,0.0540133928571428,1861.05357142857,0.51771875,0.000898571428571428,0.0261084821428571,13.3142857142857
Pain et panification sèche,N,µg/g,Contaminants inorg et minéraux,2.59857142857142,0.000932857142857142,0.021,0.0246071428571428,0.910714285714285,0.0193242857142857,476.857142857142,0.222064285714285,0.0115257142857142,1.33728571428571,0.0132864285714285,13.7614285714285,0.0005,0.001125,0.00864142857142857,405.571428571428,7.19142857142857,0.0025,0.165785714285714,0.0971214285714285,0.0169914285714285,2389.28571428571,0.0285714285714285,6696.42857142857,0.920714285714285,0.000833571428571428,0.0730214285714285,7.24
"Pizzas, quiches et pâtisseries salées",N,µg/g,Contaminants inorg et minéraux,3.40275,0.001155,0.0315,0.0348749999999999,0.40375,0.0101,1187.5,0.295,0.00648499999999999,0.6885,0.0508099999999999,7.5075,0.0005,0.0013125,0.010225,237.0,1.61675,0.0025,0.093425,0.092825,0.0071575,2310.0,0.025,6347.5,0.93575,0.0005,0.054075,9.36
Plats composés,N,µg/g,Contaminants inorg et minéraux,3.05,0.001895,0.021,0.0094,2.341,0.01655,679.5,0.244,0.01291,1.6095,0.0159249999999999,16.975,0.0005,0.00075,0.01745,556.5,7.34,0.0025,0.2905,0.24425,0.01026,3820.0,0.025,3013.5,3.0545,0.00075,0.01,7.535
Plats composés,R,µg/g,Contaminants inorg et minéraux,2.71330719696969,0.00143036363636363,0.0807793939393939,0.050836856060606,0.335375757575757,0.012932043560606,414.870643939394,0.238579166666666,0.01058275,1.03990795454545,0.128014397727272,9.02515151515151,0.000508522727272727,0.00233959469696969,0.0181046931818181,260.087121212121,1.47856420454545,0.00278693181818181,0.118589242424242,0.12499909090909,0.00831378409090909,2576.57196969696,0.0251420454545454,3904.83143939393,1.2608690340909,0.00157392045454545,0.0457498863636363,14.1161136363636
Poissons,R,µg/g,Contaminants inorg et minéraux,0.874635416666666,0.00101276388888888,0.065625,1.42382291666666,0.0732635416666666,0.0073438125,167.552430555555,0.242236111111111,0.00492392361111111,0.565934027777777,0.0242041319444444,5.68445833333333,0.000505208333333333,0.00249857638888888,0.00919152777777777,397.392361111111,0.330537326388888,0.133085763888888,0.0199355902777777,0.0481121527777777,0.00427295138888888,3805.90277777777,0.226302083333333,3874.46527777777,1.09768055555555,0.000919270833333333,0.0288284722222222,4.13955555555555
Pommes de terre et apparentés,R,µg/g,Contaminants inorg et minéraux,0.694979166666666,0.000494791666666666,0.05311875,0.00988333333333333,0.100812499999999,0.0214770833333333,176.3671875,0.148222916666666,0.00877833333333333,0.853333333333333,0.040945,3.42083333333333,0.0005,0.001554375,0.0163464583333333,233.583333333333,1.03422916666666,0.0025,0.05181875,0.104852083333333,0.00478604166666666,3814.89583333333,0.025,1096.95208333333,0.420422916666666,0.00069875,0.0154020833333333,2.4924375
Pâtes,N,µg/g,Contaminants inorg et minéraux,2.86999999999999,0.001595,0.03675,0.00725,0.5285,0.0114375,167.75,0.228999999999999,0.00159,2.1925,0.00757,7.58749999999999,0.0005,0.00157999999999999,0.0419999999999999,272.5,2.705,0.0025,0.087025,0.0501249999999999,0.0021875,528.0,0.03125,1380.0,0.74825,0.00075,0.034575,4.1075
Pâtisseries et gâteaux,N,µg/g,Contaminants inorg et minéraux,5.42611111111111,0.00377499999999999,0.0844333333333333,0.0185944444444444,0.455277777777777,0.00851277777777777,453.0,0.324055555555555,0.0164227777777777,1.09133333333333,0.0351722222222222,15.53,0.000527777777777777,0.00137944444444444,0.0104472222222222,261.888888888888,2.03388888888888,0.00277777777777777,0.0827611111111111,0.190208333333333,0.00850888888888888,2138.88888888888,0.0263888888888888,2632.22222222222,0.834277777777777,0.00116666666666666,0.0228833333333333,4.69927777777777
Riz et blé dur ou concassé,N,µg/g,Contaminants inorg et minéraux,1.32199999999999,0.000991666666666666,0.028,0.0121999999999999,0.506333333333333,0.008275,147.366666666666,0.140016666666666,0.00202833333333333,1.89983333333333,0.00345833333333333,5.94366666666666,0.0005,0.001,0.0395333333333333,269.166666666666,3.76333333333333,0.0025,0.0951333333333333,0.03825,0.001875,957.5,0.025,1139.83333333333,0.5215,0.000666666666666666,0.0499,4.495
"Sandwiches, casse-croûte",R,µg/g,Contaminants inorg et minéraux,2.07789487179487,0.000738584821428571,0.0389290178571428,0.0320419642857142,0.379700892857142,0.0101118303571428,501.816964285714,0.302392857142857,0.0117189732142857,0.881258928571428,0.0214178125,10.6576785714285,0.0005,0.00180102678571428,0.01132875,297.040178571428,2.815,0.00303437499999999,0.0939357142857142,0.0933348214285714,0.00681433035714285,2455.60714285714,0.02578125,5928.39285714285,0.716549107142857,0.000701785714285714,0.0543754464285714,16.8898214285714
Soupes et bouillons,N,µg/g,Contaminants inorg et minéraux,0.5475,0.000375,0.02625,0.0068,0.0895,0.0069875,157.75,0.045375,0.004005,0.203,0.001835,1.7725,0.0005,0.00075,0.005275,105.2,0.5305,0.0025,0.0442,0.0231875,0.004125,1612.5,0.025,3230.0,0.5145,0.000625,0.01,0.984499999999999
Soupes et bouillons,R,µg/g,Contaminants inorg et minéraux,0.80596875,0.00092278125,0.048375,0.013290625,0.18181875,0.00486,122.26875,0.080303125,0.002423125,0.665,0.0171075,1.63859374999999,0.0005,0.0008671875,0.0404875,86.009375,0.626375,0.0025,0.0305,0.0495624999999999,0.0060434375,912.78125,0.025,2693.0625,0.5655625,0.0005625,0.028921875,1.07275
Sucres et dérivés,N,µg/g,Contaminants inorg et minéraux,1.6295,0.0088075,0.088,0.0153375,0.3011875,0.01094875,119.325,0.207324999999999,0.00682625,0.27325625,0.6657125,2.786625,0.0005,0.00227125,0.0048375,82.976875,1.18734375,0.0025,0.07231875,0.103818749999999,0.008225,667.625,0.025,176.4375,0.39055625,0.0009375,0.0215375,0.817
Ultra-frais laitier,R,µg/g,Contaminants inorg et minéraux,0.725076666666666,0.000453024999999999,0.0368233333333333,0.0122974166666666,0.0907335833333333,0.00176429916666666,1080.37583333333,0.153717,0.0041988,0.0980560833333333,0.0571585,0.581656666666666,0.0005,0.001025125,0.00524167499999999,129.900416666666,0.154885583333333,0.0026375,0.0524148333333333,0.0711588333333333,0.00579774166666666,1735.125,0.0253333333333333,474.966666666666,0.382096666666666,0.0007061,0.0157055,3.753175
Viande,R,µg/g,Contaminants inorg et minéraux,0.59540625,0.001250578125,0.058753125,0.01899265625,0.069471875,0.001157453125,164.653125,0.30378125,0.00476359375,0.811890625,0.06850375,13.73296875,0.0005078125,0.00263671875,0.00379140625,309.234375,0.10772109375,0.0025,0.0166234374999999,0.0506578125,0.00811828125,3946.40625,0.026171875,807.140625,0.14392265625,0.00136734375,0.01526875,35.534375
Viennoiserie,N,µg/g,Contaminants inorg et minéraux,3.445,0.001875,0.0415,0.0230666666666666,0.6285,0.0137133333333333,381.0,0.400666666666666,0.0187216666666666,1.09183333333333,0.0114333333333333,15.7366666666666,0.000583333333333333,0.00125,0.00633666666666666,290.166666666666,3.64166666666666,0.00291666666666666,0.100816666666666,0.1328,0.0105183333333333,1976.66666666666,0.025,5206.66666666666,0.6645,0.00075,0.0849833333333333,6.09
Volaille et gibier,R,µg/g,Contaminants inorg et minéraux,0.71975,0.00050703125,0.06280625,0.015996875,0.047328125,0.001136078125,115.84375,0.269921875,0.0049478125,1.38059375,0.01186390625,14.159625,0.0005078125,0.00173671875,0.00241640625,410.046875,0.2011109375,0.0025390625,0.038890625,0.0377875,0.0041678125,4311.344140625,0.04365625,1246.453125,0.0893359374999999,0.00113875,0.013253125,20.36640625
