Famille de substances,Groupe,Aliment,Type,Unité,Nom Substance,Substance,LB,UB,MB
Contaminants inorg et minéraux,Condiments et sauces,sauce de soja,N,µg/g,Etain,Sn,0.0074,0.0074,0.00665
Contaminants inorg et minéraux,Condiments et sauces,sauce de soja,N,µg/g,Strontium,Sr,6.220000000000001,6.220000000000001,6.220000000000001
Contaminants inorg et minéraux,Condiments et sauces,sauce de soja,N,µg/g,Tellure,Te,0.001065,0.001565,0.001315
Contaminants inorg et minéraux,Condiments et sauces,sauce de soja,N,µg/g,Vanadium,V,0.09885,0.09885,0.09885
Contaminants inorg et minéraux,Condiments et sauces,sauce de soja,N,µg/g,Zinc,Zn,3.995,3.995,3.995
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Argent,Ag,0.0,0.042,0.021
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Aluminium,Al,1.705,1.705,1.705
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Arsenic,As,0.02435,0.02435,0.02435
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Baryum,Ba,0.361,0.361,0.361
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Calcium,Ca,244.0,244.0,244.0
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Cadmium,Cd,0.0145,0.0145,0.01425
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Cobalt,Co,0.0138,0.0138,0.0138
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Chromium,Cr,0.12,0.12,0.115
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Cuivre,Cu,0.9825,0.9825,0.9825
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Fer,Fe,5.84,5.84,5.84
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Germanium,Ge,0.0,0.0015,0.00075
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Mercure,Hg,0.0,0.005,0.0025
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Potassium,K,5530.0,5530.0,5530.0
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Lithium,Li,0.0264,0.0264,0.0264
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Magnésium,Mg,246.5,246.5,246.5
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Manganese,Mn,1.04,1.04,1.04
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Molybdène,Mo,0.04005,0.04005,0.04005
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Sodium,Na,8905.0,8905.0,8905.0
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Nickel,Ni,0.3835,0.3835,0.3835
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Plomb,Pb,0.0343,0.0343,0.0343
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Antimoine,Sb,0.0005,0.00075,0.000375
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Selenium,Se,0.0,0.05,0.025
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Etain,Sn,0.3685,0.3685,0.3685
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Strontium,Sr,1.74,1.74,1.74
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Tellure,Te,0.0,0.001,0.0005
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Vanadium,V,0.058399999999999994,0.058399999999999994,0.058399999999999994
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate sans viande,N,µg/g,Zinc,Zn,1.6600000000000001,1.6600000000000001,1.6600000000000001
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Argent,Ag,0.042,0.063,0.0315
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Aluminium,Al,2.0,2.0,2.0
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Arsenic,As,0.0242,0.0242,0.0242
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Baryum,Ba,0.39,0.39,0.39
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Calcium,Ca,229.0,229.0,229.0
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Cadmium,Cd,0.06335,0.06335,0.06335
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Cobalt,Co,0.013000000000000001,0.013000000000000001,0.013000000000000001
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Chromium,Cr,0.267,0.267,0.267
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Cuivre,Cu,0.9715,0.9715,0.9715
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Fer,Fe,8.69,8.69,8.69
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Germanium,Ge,0.0,0.0015,0.00075
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Mercure,Hg,0.0,0.005,0.0025
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Potassium,K,4255.0,4255.0,4255.0
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Lithium,Li,0.01655,0.01655,0.01655
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Magnésium,Mg,298.5,298.5,298.5
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Manganese,Mn,1.125,1.125,1.125
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Molybdène,Mo,0.04265,0.04265,0.04265
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Sodium,Na,6040.0,6040.0,6040.0
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Nickel,Ni,0.11945,0.11945,0.11945
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Plomb,Pb,0.01165,0.01165,0.01165
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Antimoine,Sb,0.001,0.001,0.0005
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Selenium,Se,0.0,0.05,0.025
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Etain,Sn,3.4435000000000002,3.4435000000000002,3.4435000000000002
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Strontium,Sr,1.4,1.4,1.4
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Tellure,Te,0.001,0.0015,0.00075
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Vanadium,V,0.040249999999999994,0.040249999999999994,0.040249999999999994
Contaminants inorg et minéraux,Condiments et sauces,sauce tomate à la viande,N,µg/g,Zinc,Zn,8.225,8.225,8.225
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Argent,Ag,0.042,0.063,0.0315
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Aluminium,Al,0.688,0.688,0.688
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Arsenic,As,0.03235,0.03485,0.0336
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Baryum,Ba,0.294,0.294,0.294
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Calcium,Ca,262.0,262.0,262.0
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Cadmium,Cd,0.00445,0.0047,0.004575
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Cobalt,Co,0.00429,0.00429,0.00379
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Chromium,Cr,0.5095000000000001,0.5095000000000001,0.5095000000000001
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Cuivre,Cu,0.27549999999999997,0.27549999999999997,0.27549999999999997
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Fer,Fe,4.220000000000001,4.220000000000001,4.220000000000001
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Germanium,Ge,0.002205,0.002955,0.00258
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Mercure,Hg,0.0,0.005,0.0025
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Potassium,K,613.5,613.5,613.5
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Lithium,Li,0.01275,0.013,0.012875
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Magnésium,Mg,219.5,219.5,219.5
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Manganese,Mn,0.9195,0.9195,0.9195
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Molybdène,Mo,0.03165,0.03165,0.03165
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Sodium,Na,14400.0,14400.0,14400.0
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Nickel,Ni,0.10894999999999999,0.10894999999999999,0.10894999999999999
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Plomb,Pb,0.010065,0.010065,0.010065
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Antimoine,Sb,0.0004745,0.0007245,0.0005995
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Selenium,Se,0.0,0.05,0.025
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Etain,Sn,0.0569,0.0569,0.0569
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Strontium,Sr,1.07,1.07,1.07
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Tellure,Te,0.00127,0.00177,0.00152
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Vanadium,V,0.1406,0.1406,0.1406
Contaminants inorg et minéraux,Condiments et sauces,vinaigrette,N,µg/g,Zinc,Zn,1.4649999999999999,1.4649999999999999,1.4649999999999999
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Argent,Ag,2.482,2.482,2.482
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Aluminium,Al,8.478,8.478,8.478
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Arsenic,As,2.552,2.552,2.552
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Baryum,Ba,0.0962,0.1052,0.0737
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Calcium,Ca,145.9,145.9,145.9
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Cadmium,Cd,0.35019999999999996,0.35019999999999996,0.35019999999999996
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Cobalt,Co,0.02158,0.02158,0.02158
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Chromium,Cr,0.2292,0.2292,0.2292
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Cuivre,Cu,0.7294,0.7294,0.7294
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Fer,Fe,12.09,12.09,12.09
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Germanium,Ge,0.0034279999999999996,0.0034279999999999996,0.002528
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Mercure,Hg,0.008799999999999999,0.0098,0.007299999999999999
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Potassium,K,3616.0,3616.0,3616.0
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Lithium,Li,0.03604,0.03604,0.03604
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Magnésium,Mg,628.0,628.0,628.0
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Manganese,Mn,12.690000000000001,12.690000000000001,12.690000000000001
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Molybdène,Mo,0.2096,0.2096,0.2096
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Sodium,Na,1920.0,1920.0,1920.0
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Nickel,Ni,0.09906,0.09906,0.09906
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Plomb,Pb,0.08522,0.08522,0.08522
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Antimoine,Sb,0.001142,0.001142,0.0008420000000000001
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Selenium,Se,0.02,0.06000000000000001,0.030000000000000006
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Etain,Sn,0.01222,0.01222,0.01192
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Strontium,Sr,2.102,2.102,2.102
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Tellure,Te,0.0010919999999999999,0.0016920000000000001,0.001192
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Vanadium,V,0.0881,0.0881,0.0881
Contaminants inorg et minéraux,Crustacés et mollusques,coquille st jacques,R,µg/g,Zinc,Zn,28.9,28.9,28.9
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Argent,Ag,1.2806875,1.2833125,1.282
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Aluminium,Al,25.54375,25.54375,25.54375
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Arsenic,As,2.4256875,2.4256875,2.4256875
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Baryum,Ba,0.464,0.464,0.4611875
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Calcium,Ca,2398.4375,2398.4375,2398.4375
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Cadmium,Cd,0.02133875,0.02137,0.021354375000000002
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Cobalt,Co,0.021791875,0.021791875,0.021791875
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Chromium,Cr,0.2619375,0.2619375,0.2619375
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Cuivre,Cu,8.544875,8.544875,8.544875
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Fer,Fe,19.803333333333335,19.803333333333335,19.803333333333335
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Gallium,Ga,0.000655,0.0015300000000000001,0.00103
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Germanium,Ge,0.0042787500000000004,0.00446625,0.00409125
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Mercure,Hg,0.0253875,0.0260125,0.0253875
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Potassium,K,2540.625,2540.625,2540.625
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Lithium,Li,0.03929125,0.03929125,0.03929125
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Magnésium,Mg,610.0,610.0,610.0
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Manganese,Mn,0.765325,0.765325,0.765325
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Molybdène,Mo,0.046075,0.046075,0.046075
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Sodium,Na,6538.625,6538.625,6538.625
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Nickel,Ni,0.12500625,0.12500625,0.12335
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Plomb,Pb,0.012125625,0.012125625,0.011813125
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Antimoine,Sb,0.002044375,0.002075625,0.0019975
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Selenium,Se,0.097375,0.128625,0.109875
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Etain,Sn,0.01852875,0.01871625,0.01852875
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Strontium,Sr,25.375125,25.375125,25.375125
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Tellure,Te,0.003333125,0.003520625,0.0029893750000000003
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Vanadium,V,0.12149375,0.12149375,0.12149375
Contaminants inorg et minéraux,Crustacés et mollusques,crevette,R,µg/g,Zinc,Zn,16.899375,16.899375,16.899375
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Argent,Ag,25.006666666666664,25.006666666666664,25.006666666666664
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Aluminium,Al,8.196666666666667,8.196666666666667,8.196666666666667
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Arsenic,As,2.2916666666666665,2.2916666666666665,2.2916666666666665
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Baryum,Ba,0.09223333333333333,0.09223333333333333,0.062233333333333335
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Calcium,Ca,1074.1666666666667,1074.1666666666667,1074.1666666666667
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Cadmium,Cd,0.14966666666666667,0.14966666666666667,0.14966666666666667
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Cobalt,Co,0.024366666666666665,0.024366666666666665,0.024366666666666665
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Chromium,Cr,0.13835,0.13835,0.13835
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Cuivre,Cu,11.706666666666665,11.706666666666665,11.706666666666665
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Fer,Fe,22.8,22.8,22.8
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Germanium,Ge,0.0027883333333333336,0.0030383333333333334,0.0019133333333333335
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Mercure,Hg,0.012016666666666667,0.012016666666666667,0.009516666666666666
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Potassium,K,1341.6666666666667,1341.6666666666667,1341.6666666666667
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Lithium,Li,0.0938,0.0938,0.0938
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Magnésium,Mg,1088.0,1088.0,1088.0
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Manganese,Mn,4.4750000000000005,4.4750000000000005,4.4750000000000005
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Molybdène,Mo,0.10393333333333332,0.10393333333333332,0.10393333333333332
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Sodium,Na,6865.0,6865.0,6865.0
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Nickel,Ni,0.10535,0.10535,0.10535
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Plomb,Pb,0.09566666666666666,0.09566666666666666,0.09566666666666666
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Antimoine,Sb,0.001765,0.001765,0.001765
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Selenium,Se,0.15016666666666667,0.1835,0.1668333333333333
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Etain,Sn,0.024095000000000002,0.024095000000000002,0.024095000000000002
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Strontium,Sr,7.096666666666667,7.096666666666667,7.096666666666667
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Tellure,Te,0.001,0.0015000000000000002,0.0007500000000000001
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Vanadium,V,0.17700000000000002,0.17700000000000002,0.17700000000000002
Contaminants inorg et minéraux,Crustacés et mollusques,huître,R,µg/g,Zinc,Zn,181.23333333333335,181.23333333333335,181.23333333333335
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Argent,Ag,0.8673,0.8673,0.8673
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Aluminium,Al,42.910000000000004,42.910000000000004,42.910000000000004
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Arsenic,As,2.882,2.882,2.882
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Baryum,Ba,0.35409999999999997,0.35409999999999997,0.3496
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Calcium,Ca,692.0,692.0,692.0
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Cadmium,Cd,0.13498000000000002,0.13498000000000002,0.13498000000000002
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Cobalt,Co,0.09212000000000001,0.09212000000000001,0.09212000000000001
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Chromium,Cr,0.41530000000000006,0.41530000000000006,0.41530000000000006
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Cuivre,Cu,1.6310000000000002,1.6310000000000002,1.6310000000000002
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Fer,Fe,48.6,48.6,48.6
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Gallium,Ga,0.001411,0.0020109999999999998,0.001411
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Germanium,Ge,0.004816,0.004966,0.004891
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Mercure,Hg,0.01396,0.015460000000000002,0.01471
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Potassium,K,1940.0,1940.0,1940.0
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Lithium,Li,0.10718000000000001,0.10718000000000001,0.10718000000000001
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Magnésium,Mg,926.6,926.6,926.6
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Manganese,Mn,2.209,2.209,2.209
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Molybdène,Mo,1.1066,1.1066,1.1066
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Sodium,Na,4065.0,4065.0,4065.0
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Nickel,Ni,0.27599999999999997,0.27599999999999997,0.27599999999999997
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Plomb,Pb,0.26749999999999996,0.26749999999999996,0.26749999999999996
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Antimoine,Sb,0.0037419999999999997,0.0037919999999999994,0.0037669999999999995
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Selenium,Se,0.7238,0.7238,0.7238
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Etain,Sn,0.01985,0.019999999999999997,0.019925
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Strontium,Sr,6.869,6.869,6.869
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Tellure,Te,0.002857,0.002957,0.0024070000000000003
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Vanadium,V,0.5201,0.5201,0.5201
Contaminants inorg et minéraux,Crustacés et mollusques,moule,R,µg/g,Zinc,Zn,30.560000000000002,30.560000000000002,30.560000000000002
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Argent,Ag,0.0,0.042,0.021
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Aluminium,Al,0.9815,0.9815,0.9815
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Arsenic,As,0.013149999999999998,0.013149999999999998,0.013149999999999998
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Baryum,Ba,0.345,0.345,0.345
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Calcium,Ca,1395.0,1395.0,1395.0
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Cadmium,Cd,0.00628,0.00628,0.00628
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Cobalt,Co,0.020999999999999998,0.020999999999999998,0.020999999999999998
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Chromium,Cr,0.3565,0.3565,0.3565
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Cuivre,Cu,0.773,0.773,0.773
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Fer,Fe,23.1,23.1,23.1
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Germanium,Ge,0.001845,0.002595,0.00222
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Mercure,Hg,0.0,0.005,0.0025
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Potassium,K,2075.0,2075.0,2075.0
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Lithium,Li,0.0037349999999999996,0.0037349999999999996,0.0037349999999999996
Contaminants inorg et minéraux,Céréales pour petit déjeuner,céréales au chocolat,N,µg/g,Magnésium,Mg,273.0,273.0,273.0
