Famille de substances,Groupe,Aliment,Type,Unité,Nom Substance,Substance,LB,UB,MB
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Sodium,Na,1390.0,1390.0,1390.0
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Nickel,Ni,0.35050000000000003,0.35050000000000003,0.35050000000000003
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Plomb,Pb,0.019950000000000002,0.019950000000000002,0.019950000000000002
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Antimoine,Sb,0.00125,0.00125,0.001
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Selenium,Se,0.0,0.05,0.025
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Etain,Sn,0.0169,0.0169,0.0169
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Strontium,Sr,2.715,2.715,2.715
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Tellure,Te,0.00136,0.00186,0.00161
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Vanadium,V,0.038400000000000004,0.038400000000000004,0.038400000000000004
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Zinc,Zn,16.6,16.6,16.6
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Argent,Ag,0.035187500000000003,0.061437500000000006,0.0378125
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Aluminium,Al,3.73125,3.73125,3.73125
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Arsenic,As,0.0115,0.0124375,0.01040625
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Baryum,Ba,0.3381875,0.3381875,0.3381875
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Calcium,Ca,970.6875,970.6875,970.6875
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Cadmium,Cd,0.004351875,0.004351875,0.004351875
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Cobalt,Co,0.0257625,0.0257625,0.0257625
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Chromium,Cr,0.17341875,0.17341875,0.17341875
